event_id,user_id,event_ts,event_name,platform,device_type,os,app_version,channel,campaign,page,product_hint,city,country
8ffe29ab-54ad-43c0-aedc-bb2784766417,U0001,2025-08-07T07:27:19,app_open,app,tablet,Android,2.6.3,direct,retargeting,quote_details,Home,Auckland,NZ
6954fe5e-4a34-46c2-a433-0e2d21c87d2e,U0001,2025-08-07T07:30:10,page_view,app,tablet,Android,2.6.3,direct,retargeting,quote_submit,Contents,Auckland,NZ
5d7a4219-e682-4e2e-9ee1-9bceeeee7eba,U0001,2025-08-07T07:34:42,page_view,app,tablet,Android,2.6.3,direct,retargeting,account,Motor,Auckland,NZ
cff8441f-1d4f-4f6f-ab9a-ac4be30e9cb3,U0001,2025-08-07T07:35:34,page_view,app,tablet,Android,2.6.3,direct,retargeting,quote_submit,Motor,Auckland,NZ
e120d274-970f-4553-b056-7bcb5cbc4f74,U0001,2025-08-07T07:37:46,page_view,app,tablet,Android,2.6.3,direct,retargeting,checkout,Home,Auckland,NZ
7ccc53d8-5467-44d8-a33b-4870988bc807,U0001,2025-08-09T20:29:58,app_open,app,tablet,Android,2.6.3,direct,winter_sale,account,Motor,Hamilton,NZ
5aed4bb3-e368-43d7-864f-78fa3d78b9d5,U0001,2025-08-09T20:30:49,page_view,app,tablet,Android,2.6.3,direct,winter_sale,quote_submit,Motor,Hamilton,NZ
036bde83-7548-49e0-8860-b0af236a0642,U0001,2025-08-09T20:31:44,quote_start,app,tablet,Android,2.6.3,direct,winter_sale,quote_start,Motor,Hamilton,NZ
9ecff127-176a-4ee2-91f7-f8b4dbb59d27,U0001,2025-08-09T20:34:56,quote_details,app,tablet,Android,2.6.3,direct,winter_sale,quote_start,Home,Hamilton,NZ
1a17b928-573e-4501-bdbb-67d1880b9c14,U0001,2025-08-09T20:37:39,quote_submit,app,tablet,Android,2.6.3,direct,winter_sale,quote_start,Contents,Hamilton,NZ
1a1e75fa-aeae-4718-bfaa-a605b2fa8cda,U0002,2025-07-26T11:03:48,app_open,app,phone,Android,2.7.2,direct,winter_sale,quote_details,Home,Christchurch,NZ
2a3a0a53-8814-4513-99cb-64f52c4852ff,U0002,2025-07-26T11:08:10,page_view,app,phone,Android,2.7.2,direct,winter_sale,quote_start,Motor,Christchurch,NZ
4f677921-0941-40f2-96a8-d5927f86aa75,U0002,2025-08-12T09:32:24,app_open,app,tablet,Android,2.7.2,direct,welcome,support,Motor,Auckland,NZ
a37a8480-39ba-4c71-9ecd-407586415e81,U0002,2025-08-12T09:35:16,page_view,app,tablet,Android,2.7.2,direct,welcome,checkout,Motor,Auckland,NZ
1fc56617-19a8-4b9b-8e3d-770adde831c3,U0002,2025-08-12T09:37:57,support_click,app,tablet,Android,2.7.2,direct,welcome,support,Motor,Auckland,NZ
7de81393-7655-4aad-ab2a-1d75b387db8c,U0002,2025-08-12T09:39:24,page_view,app,tablet,Android,2.7.2,direct,welcome,quote_submit,Contents,Auckland,NZ
9592db87-f73a-4978-814d-6aafc78e1ce2,U0002,2025-08-12T09:40:10,login,app,tablet,Android,2.7.2,direct,welcome,account,Home,Auckland,NZ
4bb1a960-61a8-4e3d-92ba-7cf2e53e6572,U0003,2025-08-07T19:19:08,page_view,web,laptop,Windows,,direct,none,account,Motor,Auckland,NZ
